dataset,source_file,scale,n_rows_in_file,n_complete_pairs,n_excluded_missing_p2,n_p1_verbatim_ok_in_complete,r1_binary_varies,r2_binary_varies,cohens_kappa,ci95_lower,ci95_upper,ci_method,notes
Suicidal ideation (SI),SI_psychiatrist_01_and_02_scores.csv,R1=R2=True iff psychiatrist endorses model text verbatim (task-specific P2 mapping).,1000,852,148,822,True,True,0.069486,-0.031996,0.18086,"Bootstrap percentile on row resampling, n=5000, seed=42. Quantifies resampling uncertainty of κ given fixed rules; not a population CI unless rows are i.i.d. samples.",
Therapy request,therapy_request_psychiatrist_01_and_02_scores.csv,R1=R2=True iff psychiatrist endorses model text verbatim (task-specific P2 mapping).,1200,1119,81,1119,False,True,0.0,0.0,0.0,"Bootstrap percentile on row resampling, n=5000, seed=42. Quantifies resampling uncertainty of κ given fixed rules; not a population CI unless rows are i.i.d. samples.",Degenerate: R1 or R2 has no variance on this subset; κ is not informative.
Therapy engagement,therapy_engagement_psychiatrist_01_and_02_scores.csv,R1=R2=True iff psychiatrist endorses model text verbatim (task-specific P2 mapping).,450,450,0,363,True,True,0.365908,0.25283,0.475353,"Bootstrap percentile on row resampling, n=5000, seed=42. Quantifies resampling uncertainty of κ given fixed rules; not a population CI unless rows are i.i.d. samples.",
