dataset,source_file,scale,n_rows,n_p1_verbatim_ok,n_p2_missing_where_p1_verbatim,scenario,cohens_kappa,ci95_lower,ci95_upper,ci_method
Suicidal ideation (SI),SI_psychiatrist_01_and_02_scores.csv,R1=R2=True iff psychiatrist endorses model text verbatim (task-specific P2 mapping).,1000,822,0,optimistic,0.91596,0.882815,0.945777,"Bootstrap percentile on row resampling, n=5000, seed=42. Quantifies resampling uncertainty of κ given fixed rules; not a population CI unless rows are i.i.d. samples."
Suicidal ideation (SI),SI_psychiatrist_01_and_02_scores.csv,R1=R2=True iff psychiatrist endorses model text verbatim (task-specific P2 mapping).,1000,822,0,pessimistic,-0.047529,-0.064137,-0.031947,"Bootstrap percentile on row resampling, n=5000, seed=42. Quantifies resampling uncertainty of κ given fixed rules; not a population CI unless rows are i.i.d. samples."
Therapy request,therapy_request_psychiatrist_01_and_02_scores.csv,R1=R2=True iff psychiatrist endorses model text verbatim (task-specific P2 mapping).,1200,1119,0,optimistic,0.931498,0.886567,0.968519,"Bootstrap percentile on row resampling, n=5000, seed=42. Quantifies resampling uncertainty of κ given fixed rules; not a population CI unless rows are i.i.d. samples."
Therapy request,therapy_request_psychiatrist_01_and_02_scores.csv,R1=R2=True iff psychiatrist endorses model text verbatim (task-specific P2 mapping).,1200,1119,0,pessimistic,-0.016406,-0.025208,-0.007928,"Bootstrap percentile on row resampling, n=5000, seed=42. Quantifies resampling uncertainty of κ given fixed rules; not a population CI unless rows are i.i.d. samples."
Therapy engagement,therapy_engagement_psychiatrist_01_and_02_scores.csv,R1=R2=True iff psychiatrist endorses model text verbatim (task-specific P2 mapping).,450,363,0,optimistic,0.951608,0.912281,0.985227,"Bootstrap percentile on row resampling, n=5000, seed=42. Quantifies resampling uncertainty of κ given fixed rules; not a population CI unless rows are i.i.d. samples."
Therapy engagement,therapy_engagement_psychiatrist_01_and_02_scores.csv,R1=R2=True iff psychiatrist endorses model text verbatim (task-specific P2 mapping).,450,363,0,pessimistic,-0.029648,-0.051343,-0.008776,"Bootstrap percentile on row resampling, n=5000, seed=42. Quantifies resampling uncertainty of κ given fixed rules; not a population CI unless rows are i.i.d. samples."
