dataset,source_file,harmonization,n_rows_total,n_p2_missing,n_complete_pairs,complete_cases_p1_binary_varies,scenario,cohens_kappa,notes
Suicidal ideation (SI),SI_psychiatrist_01_and_02_scores.csv,binary keep vs remove: P1 keep = KEPT_exact_match|KEPT_with_changes; P1 remove = REMOVED. P2 keep/remove mapped from task-specific labels (see ANALYSIS_SUMMARY.md).,1000,148,852,False,complete_cases_only,0.0,"Degenerate: on rows with observed P2, P1 is always 'keep' (P1=REMOVED rows have P2=NA). Cohen's kappa is 0 by construction."
Suicidal ideation (SI),SI_psychiatrist_01_and_02_scores.csv,binary keep vs remove: P1 keep = KEPT_exact_match|KEPT_with_changes; P1 remove = REMOVED. P2 keep/remove mapped from task-specific labels (see ANALYSIS_SUMMARY.md).,1000,148,852,False,worst_case_imputation,-0.050969,Missing P2 imputed to disagree with P1 on binary keep/remove.
Suicidal ideation (SI),SI_psychiatrist_01_and_02_scores.csv,binary keep vs remove: P1 keep = KEPT_exact_match|KEPT_with_changes; P1 remove = REMOVED. P2 keep/remove mapped from task-specific labels (see ANALYSIS_SUMMARY.md).,1000,148,852,False,best_case_imputation,0.89362,Missing P2 imputed to agree with P1 on binary keep/remove.
Therapy request,therapy_request_psychiatrist_01_and_02_scores.csv,binary keep vs remove: P1 keep = KEPT_exact_match|KEPT_with_changes; P1 remove = REMOVED. P2 keep/remove mapped from task-specific labels (see ANALYSIS_SUMMARY.md).,1200,81,1119,False,complete_cases_only,0.0,"Degenerate: on rows with observed P2, P1 is always 'keep' (P1=REMOVED rows have P2=NA). Cohen's kappa is 0 by construction."
Therapy request,therapy_request_psychiatrist_01_and_02_scores.csv,binary keep vs remove: P1 keep = KEPT_exact_match|KEPT_with_changes; P1 remove = REMOVED. P2 keep/remove mapped from task-specific labels (see ANALYSIS_SUMMARY.md).,1200,81,1119,False,worst_case_imputation,-0.016406,Missing P2 imputed to disagree with P1 on binary keep/remove.
Therapy request,therapy_request_psychiatrist_01_and_02_scores.csv,binary keep vs remove: P1 keep = KEPT_exact_match|KEPT_with_changes; P1 remove = REMOVED. P2 keep/remove mapped from task-specific labels (see ANALYSIS_SUMMARY.md).,1200,81,1119,False,best_case_imputation,0.931498,Missing P2 imputed to agree with P1 on binary keep/remove.
Therapy engagement,therapy_engagement_psychiatrist_01_and_02_scores.csv,binary keep vs remove: P1 keep = KEPT_exact_match|KEPT_with_changes; P1 remove = REMOVED. P2 keep/remove mapped from task-specific labels (see ANALYSIS_SUMMARY.md).,450,0,450,True,complete_cases_only,0.60004,
Therapy engagement,therapy_engagement_psychiatrist_01_and_02_scores.csv,binary keep vs remove: P1 keep = KEPT_exact_match|KEPT_with_changes; P1 remove = REMOVED. P2 keep/remove mapped from task-specific labels (see ANALYSIS_SUMMARY.md).,450,0,450,True,worst_case_imputation,0.60004,Missing P2 imputed to disagree with P1 on binary keep/remove.
Therapy engagement,therapy_engagement_psychiatrist_01_and_02_scores.csv,binary keep vs remove: P1 keep = KEPT_exact_match|KEPT_with_changes; P1 remove = REMOVED. P2 keep/remove mapped from task-specific labels (see ANALYSIS_SUMMARY.md).,450,0,450,True,best_case_imputation,0.60004,Missing P2 imputed to agree with P1 on binary keep/remove.
