dataset,n_units,analysis_unit,metric,description,cohens_kappa,ci95_lower,ci95_upper,bootstrap_reps,bootstrap_seed
Suicidal ideation (SI),1000,statement,as_is_agreement,Binary per rater: as-is OK (keep) vs not as-is (change OR remove). P1 as-is=KEPT_exact_match; not as-is=KEPT_with_changes|REMOVED. P2 as-is=KEPT (SI/TR) or KEPT_exact_match (TE); not as-is=KEPT_with_changes|REMOVED.,0.852242,0.80759,0.892969,5000,42
Therapy request,1200,statement,as_is_agreement,Binary per rater: as-is OK (keep) vs not as-is (change OR remove). P1 as-is=KEPT_exact_match; not as-is=KEPT_with_changes|REMOVED. P2 as-is=KEPT (SI/TR) or KEPT_exact_match (TE); not as-is=KEPT_with_changes|REMOVED.,0.758325,0.675041,0.831669,5000,42
Therapy engagement,450,conversation,as_is_agreement,Binary per rater: as-is OK (keep) vs not as-is (change OR remove). P1 as-is=KEPT_exact_match; not as-is=KEPT_with_changes|REMOVED. P2 as-is=KEPT (SI/TR) or KEPT_exact_match (TE); not as-is=KEPT_with_changes|REMOVED.,0.555758,0.445925,0.653784,5000,42
