Task,DV,Variable,β,SE,t,p,p (Bonferroni-corrected),95% CI Lower (Bonf),95% CI Upper (Bonf),R²,N,Bonf Sig
Suicidal Ideation,F1 Score,Intercept,0.10858266532791581,0.09642095777640328,1.1261313705233575,0.26010991736535083,1.0,-0.16502114680148938,0.38218647745732104,0.3132053711014601,127,
Suicidal Ideation,F1 Score,Family: LLaMA,-0.1188039208145532,0.07176406391001283,-1.6554792794834625,0.097827316109651,1.0,-0.32244140702590623,0.08483356539679986,0.3132053711014601,127,
Suicidal Ideation,F1 Score,Family: Qwen,0.03357271230532306,0.07368753214381014,0.4556091285538217,0.6486710776498095,1.0,-0.1755228014283987,0.2426682260390448,0.3132053711014601,127,
Suicidal Ideation,F1 Score,Version: 2,0.23827345970311625,0.09739442269252375,2.4464795120286364,0.014425899609981644,0.15868489570979807,-0.038092653467131476,0.5146395728733639,0.3132053711014601,127,
Suicidal Ideation,F1 Score,Version: 3,0.352955832000335,0.08690075567954983,4.061596809374988,4.873819933205745e-05,0.000536120192652632,0.1063665159515621,0.5995451480491079,0.3132053711014601,127,***
Suicidal Ideation,F1 Score,Version: 4,0.5259008353608436,0.1422579133448384,3.6968125216770242,0.00021832344946642873,0.0024015579441307162,0.12223021961170544,0.9295714511099819,0.3132053711014601,127,**
Suicidal Ideation,F1 Score,Fine-Tune Type: Instruction-Tuned,0.18269819521879593,0.09287968062879473,1.967041595986663,0.04917841552140089,0.5409625707354098,-0.08085689980867689,0.44625329024626875,0.3132053711014601,127,
Suicidal Ideation,F1 Score,Fine-Tune Type: Medical-Tuned,0.1653276679878635,0.10923134599584582,1.513555165695304,0.1301386996171266,1.0,-0.1446268622066433,0.4752821981823703,0.3132053711014601,127,
Suicidal Ideation,F1 Score,Fine-Tune Type: Mental Health Tuned,0.13975982139081247,0.0849763873169536,1.644690081604929,0.10003373924580466,1.0,-0.10136891293289066,0.38088855571451563,0.3132053711014601,127,
Suicidal Ideation,F1 Score,Fine-Tune Type: Safety-Tuned,0.20934456602934068,0.1541336998195281,1.3582011349526926,0.17439987056759831,1.0,-0.2280247447591566,0.646713876817838,0.3132053711014601,127,
