task,model_size,generic,patched
SI,9b,0.0,0.818898
SI,4b-it,0.052083,0.16273
SI,2b,0.933333,0.8
SI,27b,0.961039,0.732394
TR,9b,0.0,0.007663
TR,4b-it,0.034783,0.131474
TR,2b,0.910053,0.790607
TR,27b,0.962547,0.022814
TE,4b-it,0.377622,0.402985
TE,9b,0.40099,0.0
TE,2b,0.815287,0.095238
TE,27b,0.914729,0.0
