plot_type,trendline_type,family,task,group,n_points,slope,intercept,r_squared,p_value,std_err,significant,bonferroni_alpha
f1_vs_params_overall_trend,overall,gemma,suicidal_ideation,all,32,0.297778,0.557003,0.360194,0.000282,0.072458,True,0.005556
f1_vs_params_overall_trend,overall,gemma,therapy_request,all,32,0.357270,0.463474,0.366311,0.000243,0.085792,True,0.005556
f1_vs_params_overall_trend,overall,gemma,therapy_engagement,all,38,0.360853,0.444018,0.375366,0.000043,0.077583,True,0.005556
f1_vs_params_overall_trend,overall,llama,suicidal_ideation,all,32,0.238310,0.475010,0.292297,0.001400,0.067701,True,0.005556
f1_vs_params_overall_trend,overall,llama,therapy_request,all,27,0.335117,0.162629,0.429544,0.000207,0.077238,True,0.005556
f1_vs_params_overall_trend,overall,llama,therapy_engagement,all,33,0.132701,0.548654,0.096894,0.077849,0.072764,False,0.005556
f1_vs_params_overall_trend,overall,qwen,suicidal_ideation,all,27,0.328733,0.539589,0.418402,0.000266,0.077515,True,0.005556
f1_vs_params_overall_trend,overall,qwen,therapy_request,all,25,0.246440,0.523272,0.133303,0.072715,0.131027,False,0.005556
f1_vs_params_overall_trend,overall,qwen,therapy_engagement,all,28,0.328631,0.383437,0.298432,0.002634,0.098818,True,0.005556
