Task,DV,Variable,β,SE,t,p,p_bonferroni,p_fdr,95% CI Lower,95% CI Upper,Bonf CI Lower,Bonf CI Upper,R²,Adj R²,N
Therapy Engagement,Accuracy,Intercept,0.5551604973632702,0.09009931535696551,6.161650564865821,7.199057475440224e-10,7.918963222984247e-09,7.918963222984247e-09,0.3785690842319012,0.7317519104946393,0.2994949582479961,0.8108260364785443,0.24928499058547593,0.16397646678837097,99
Therapy Engagement,Accuracy,Family: LLaMA,-0.04833943766616782,0.048951100327184735,-0.9875046187536416,0.3233953197747831,1.0,0.5081926453603735,-0.14428183131105676,0.04760295597872111,-0.18724292883978885,0.0905640535074532,0.24928499058547593,0.16397646678837097,99
Therapy Engagement,Accuracy,Family: Qwen,0.0328365746223858,0.04874115726297262,0.6736929622992536,0.5005065371011573,1.0,0.6612344656575052,-0.06269433817784341,0.128367487422615,-0.10547118276033297,0.1711443320051046,0.24928499058547593,0.16397646678837097,99
Therapy Engagement,Accuracy,Version: 2,0.1375108999564701,0.07478459633331666,1.838759673764646,0.06595054201139197,0.7254559621253117,0.14509119242506235,-0.009064215455196756,0.28408601536813693,-0.07469763973469654,0.34971943964763674,0.24928499058547593,0.16397646678837097,99
Therapy Engagement,Accuracy,Version: 3,0.18937255306239575,0.07027907094848854,2.6945796309856953,0.007047748380993785,0.07752523219093163,0.025841744063643878,0.05162810513642302,0.3271170009883685,-0.01005112170559272,0.38879622783038426,0.24928499058547593,0.16397646678837097,99
Therapy Engagement,Accuracy,Version: 4,0.28199665754157077,0.09433899335338325,2.9891845091588274,0.0027972315824338076,0.030769547406771885,0.015384773703385942,0.09709562823117607,0.4668976868519655,0.014300621231785993,0.5496926938513556,0.24928499058547593,0.16397646678837097,99
Therapy Engagement,Accuracy,Fine-Tune Type: Instruction-Tuned,0.02771420067285964,0.06988715123534527,0.39655645112120763,0.6916945718045147,1.0,0.6916945718045147,-0.10926209873052102,0.1646905000762403,-0.17059736392699165,0.22602576527271095,0.24928499058547593,0.16397646678837097,99
Therapy Engagement,Accuracy,Fine-Tune Type: Medical-Tuned,0.07132446424057587,0.06463592655157614,1.1034801858013534,0.2698186915527415,1.0,0.4946676011800262,-0.055359623907889594,0.19800855238904133,-0.11208624140743798,0.2547351698885897,0.24928499058547593,0.16397646678837097,99
Therapy Engagement,Accuracy,Fine-Tune Type: Mental Health Tuned,0.03423167358225726,0.06547915396457755,0.5227873530677514,0.6011222415068229,1.0,0.6612344656575052,-0.09410510992646784,0.16256845709098236,-0.15157177156979895,0.22003511873431347,0.24928499058547593,0.16397646678837097,99
Therapy Engagement,Accuracy,Fine-Tune Type: Safety-Tuned,-0.0510895959825251,0.08901467609782557,-0.5739457606561251,0.5660045055314715,1.0,0.6612344656575052,-0.2255551552297616,0.1233759632647114,-0.30367736608440604,0.20149817411935583,0.24928499058547593,0.16397646678837097,99
Therapy Engagement,Accuracy,Parameter Size (B),0.002940977593814565,0.001133995396710405,2.5934651960193267,0.009501415538773556,0.10451557092650912,0.02612889273162728,0.0007183874576279599,0.00516356773000117,-0.0002768442431833459,0.0061587994308124755,0.24928499058547593,0.16397646678837097,99
