Task,DV,R²,Adj R²,F-stat,F p-value,N
Suicidal Ideation,F1 Score,0.4292045719588524,0.35785514345370895,5.884795420136076,1.3269247605537878e-06,91
Suicidal Ideation,Accuracy,0.568672521027215,0.5147565861556169,8.727521296425488,1.69255887262649e-09,91
Therapy Request,F1 Score,0.5322458458583048,0.4681699343320451,9.763700139716525,3.8848137739468664e-10,84
Therapy Request,Accuracy,0.5892083544680541,0.5329355263129929,13.092790224021865,9.018196502679001e-13,84
Therapy Engagement,F1 Score,0.383358229983898,0.3132853015729774,5.280191936539181,4.67958998432185e-06,99
Therapy Engagement,Accuracy,0.24928499058547593,0.16397646678837097,3.756837210096741,0.0003118634947731665,99
