Task,DV,Variable,β,SE,t,p,p_bonferroni,p_fdr,95% CI Lower,95% CI Upper,Bonf CI Lower,Bonf CI Upper,R²,Adj R²,N
Suicidal Ideation,F1 Score,Intercept,0.4046405582525475,0.09213342767976666,4.391897364971371,1.1236574327806644e-05,0.00012360231760587308,7.507691873086849e-05,0.22406235822797915,0.5852187582771159,0.14320302828951198,0.666078088215583,0.4292045719588524,0.35785514345370895,91
Suicidal Ideation,F1 Score,Family: LLaMA,-0.13114602018615473,0.058201381893543715,-2.2533145420161023,0.024239323497354918,0.2666325584709041,0.038090365495843444,-0.24521863254796203,-0.017073407824347436,-0.2962980817763368,0.034006041404027354,0.4292045719588524,0.35785514345370895,91
Suicidal Ideation,F1 Score,Family: Qwen,-0.022866785390929234,0.058212794230586125,-0.3928137395424077,0.6944570560453995,1.0,0.6944570560453995,-0.1369617655223191,0.09122819474046062,-0.18805123059347234,0.14231765981161387,0.4292045719588524,0.35785514345370895,91
Suicidal Ideation,F1 Score,Version: 2,0.14340790561381245,0.1028905303097481,1.3937911018836069,0.16338069594582494,1.0,0.19968751726711936,-0.05825382814352062,0.34506963937114554,-0.14855394556427792,0.4353697567919028,0.4292045719588524,0.35785514345370895,91
Suicidal Ideation,F1 Score,Version: 3,0.2680554162743102,0.08880612792371012,3.0184337786305258,0.0025408492549691014,0.027949341804660115,0.005589868360932023,0.09399860393738152,0.44211222861123883,0.016059421827499254,0.5200514107211212,0.4292045719588524,0.35785514345370895,91
Suicidal Ideation,F1 Score,Version: 4,0.381623522925884,0.09758974672634192,3.91048789168416,9.210987785913809e-05,0.001013208656450519,0.0003377362188168397,0.19035113408186816,0.5728959117698997,0.10470315888025006,0.6585438869715179,0.4292045719588524,0.35785514345370895,91
Suicidal Ideation,F1 Score,Fine-Tune Type: Instruction-Tuned,0.08885358808671454,0.07155577618802784,1.2417388619086887,0.21433292657597935,1.0,0.2357662192335773,-0.05139315612762885,0.22910033230105792,-0.11419286152772984,0.2919000377011589,0.4292045719588524,0.35785514345370895,91
Suicidal Ideation,F1 Score,Fine-Tune Type: Medical-Tuned,0.1844408877767224,0.07007812352611602,2.6319324561820894,0.008490073980099079,0.09339081378108988,0.015565135630181645,0.047090289561385945,0.32179148599205887,-0.014412579205877796,0.3832943547593226,0.4292045719588524,0.35785514345370895,91
Suicidal Ideation,F1 Score,Fine-Tune Type: Mental Health Tuned,0.10786961811775533,0.06926205892288083,1.5574128143932555,0.11937250566056043,1.0,0.1641371952832706,-0.027881522866182173,0.24362075910169284,-0.08866818646594199,0.30440742270145266,0.4292045719588524,0.35785514345370895,91
Suicidal Ideation,F1 Score,Fine-Tune Type: Safety-Tuned,0.2234113228008709,0.07181536718599721,3.110912490668604,0.001865102021165341,0.02051612223281875,0.005129030558204688,0.08265578957979675,0.36416685602194504,0.019628258571960655,0.42719438702978113,0.4292045719588524,0.35785514345370895,91
Suicidal Ideation,F1 Score,Parameter Size (B),0.005842049058243228,0.0013431815640856215,4.349411289173133,1.365034886015791e-05,0.000150153837461737,7.507691873086849e-05,0.0032094615679372314,0.008474636548549224,0.002030641198470861,0.009653456918015595,0.4292045719588524,0.35785514345370895,91
